Postcode,y_2012,y_2013,y_2014,y_2015,y_2016
3000,25046,22604,21816,22158,23715
3002,788,1044,716,817,854
3003,626,566,472,606,780
3004,188,115,185,143,35
3006,1993,2164,2474,2895,3288
3008,1049,883,1469,1379,2235
3011,3489,3195,2960,3044,3653
3012,2090,1865,1925,2122,2117
3013,994,771,741,785,914
3015,1216,1096,1202,1195,1105
3016,1399,1335,1308,1214,1327
3018,977,929,901,856,868
3019,1143,989,1210,1344,1178
3020,5984,6669,6253,6426,5812
3021,4790,4538,4369,4988,5605
3022,655,606,329,437,412
3023,4483,4625,4213,4747,4818
3024,1109,1001,1078,1389,1590
3025,1211,1187,1294,1331,1223
3026,568,1021,615,514,589
3027,170,154,286,390,404
3028,2101,2003,2144,2082,1996
3029,5567,5112,5236,5806,5887
3030,6291,6075,6271,6806,7545
3031,2122,2191,2728,2745,2547
3032,3186,3364,2974,3395,3263
3033,799,599,691,678,667
3034,380,505,424,489,544
3036,261,283,363,349,462
3037,2592,2654,2397,2631,2403
3038,1854,2325,1703,2072,1986
3039,1423,1324,1593,1810,1488
3040,1503,1343,1473,1569,1868
3041,653,564,695,670,971
3042,1486,1314,1547,1804,1586
3043,1664,1322,1670,1892,2092
3044,1342,1271,1350,1444,1715
3045,594,636,736,659,644
3046,2334,2394,2582,2780,2871
3047,3840,3881,4080,4621,5244
3048,1577,1436,1627,1804,2502
3049,494,467,510,477,547
3051,1510,1731,1802,1689,1792
3052,736,731,793,1035,1303
3053,1816,1606,1881,2392,2748
3054,497,490,684,583,751
3055,657,626,669,962,898
3056,2382,2481,2925,3194,3196
3057,591,739,884,780,876
3058,3218,3649,3247,3682,4139
3059,486,508,545,659,827
3060,1201,918,957,1201,1222
3061,1324,1332,1447,1686,1789
3062,127,184,212,225,246
3063,21,18,27,26,21
3064,3652,3642,4556,5531,6640
3065,2346,2550,2879,2808,2806
3066,1507,1548,1910,2002,2196
3067,776,1016,1078,1469,1297
3068,1329,1442,1857,1715,1900
3070,1694,1823,2026,2050,2345
3071,1173,1088,1355,1339,1563
3072,4363,4706,5331,6205,6675
3073,3330,3353,4402,4291,4527
3074,2330,1995,2189,2195,2475
3075,1480,1443,1427,1371,1679
3076,2655,3304,3342,3016,3488
3078,623,711,790,673,944
3079,653,841,957,721,937
3081,1611,1661,1844,1862,2362
3082,1848,1935,1927,2017,2335
3083,1645,1988,2120,2485,3136
3084,1805,2389,2541,2256,2142
3085,511,1600,715,590,639
3087,491,503,547,606,773
3088,1476,1538,1520,2295,2036
3089,512,614,440,627,778
3090,75,101,98,105,175
3091,41,62,59,60,109
3093,110,190,149,136,157
3094,278,268,241,245,365
3095,781,1008,1013,1756,1531
3096,36,44,38,64,66
3097,24,28,32,22,28
3099,175,172,174,204,240
3101,1133,1279,1380,1747,1532
3102,193,209,174,199,177
3103,478,513,488,504,669
3104,504,623,467,566,613
3105,373,322,492,398,465
3106,326,399,427,450,575
3107,252,295,377,435,445
3108,1510,1462,1443,1557,1528
3109,779,798,701,893,1189
3111,175,421,251,298,366
3113,161,211,176,201,228
3114,104,71,84,88,114
3115,40,139,92,89,111
3116,443,551,653,682,799
3121,4201,4036,4322,4321,4827
3122,1725,1436,1490,1449,1655
3123,462,456,426,591,772
3124,1072,1194,916,1144,1268
3125,751,760,943,915,856
3126,233,211,232,198,299
3127,578,465,674,516,711
3128,1631,1531,1622,1885,1740
3129,374,484,345,326,476
3130,971,1160,1013,1064,1288
3131,1307,1092,1341,1200,1159
3132,933,662,801,1610,864
3133,574,823,673,750,755
3134,2998,3158,3491,3411,3993
3135,769,889,1052,949,1104
3136,1931,2032,2344,2471,2903
3137,785,579,704,910,854
3138,936,802,1134,1290,1418
3139,347,414,425,530,697
3140,1315,1367,1448,1628,1819
3141,1955,1893,2097,2428,2938
3142,933,888,803,708,883
3143,438,362,466,498,647
3144,876,795,813,848,1052
3145,1621,1966,1409,1873,2112
3146,690,724,694,785,1039
3147,641,811,859,1042,1105
3148,811,900,1218,1026,1068
3149,1691,940,1041,1198,1512
3150,1873,1918,2092,2424,2648
3151,371,395,423,474,600
3152,1959,2428,2024,2472,2838
3153,1770,1704,1961,1997,2366
3154,160,140,153,155,274
3155,1765,1402,1653,1740,2307
3156,1865,1852,2004,2002,2245
3158,293,257,258,312,247
3159,70,87,64,67,53
3160,502,585,442,493,502
3161,588,598,537,664,712
3162,730,907,728,904,1146
3163,1062,1296,1311,1553,1915
3165,720,892,778,980,1188
3166,1469,1758,1744,1781,2160
3167,474,476,459,424,471
3168,1754,1725,1414,1793,1784
3169,773,981,948,1017,1128
3170,1020,1016,1587,1318,2806
3171,1870,2070,1851,2069,2147
3172,798,1003,865,1009,1168
3173,1195,1344,1350,1453,1778
3174,2439,2788,2927,3227,3586
3175,8840,9133,9220,12045,12311
3177,1047,1265,1386,1579,1752
3178,1242,1489,1624,1684,1986
3179,302,479,445,474,630
3180,406,443,490,377,551
